Address,BaseAddress,BaseSymbol,BaseDecimals,QuotedAddress,QuotedSymbol,QuotedDecimals,Tick,Fee Tier
0x2ac26adfd0dc144342d7e3375aa1dcfe56fafd1f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xde5ed76e7c05ec5e4572cfc88d1acea165109e44,DEUS,18,29600,10000
0x2d129e7c9d0bd7c5627f0190a9a320061b8e49ce,0x10fc9d0f6d60dc01703f23ceb0463e9ea62fbef8,LMKT,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-78061,3000
0xb37f32bd99bfd76f92b361fdc553b2b46a49a03d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xedbd642a1d3fe098f0fc5479c3dbe0339dcb9ff9,M-Cn,8,,10000
0x53c60bdbdc4b2b98074cf008f5a68451f062d520,0x5380442d3c4ec4f5777f551f5edd2fa0f691a27c,LOVE,18,0xab20c02a1ac51797715c3795c843d61250885d18,MEME,18,,100
0xf989153c4be987fb6e5c0b005abc34291beba6a6,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xedbd642a1d3fe098f0fc5479c3dbe0339dcb9ff9,M-Cn,8,-111001,3000
0xcbaa2b428970eab288e6fcdbfe5d1e8189e92eab,0xacffff8746269f4c7c8e9163cf32d2edbb7dc7b3,XMALL,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-887272,3000
0xf14b3199c88a3ec6058b09b3e427b23411f79b1f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xc324ec30657825f28e147c3f275a1611b0d88975,$TMINU,9,,100
0x647b06f5ea8fc26c1fa5f3a318f29135ad200e9b,0x32bce311b01a1657646c095e36687054cc0eec27,NPC,2,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,103212,100
0x0f9f030318e9f88389d4c060fadc70728da0b735,0xa2e067012baa8e444663943621ceaa5bbe3ab153,ABC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,10000
0x567f5cba32ce673778e553442c7c69972a02cde8,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,CODE,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-887272,10000
0x54dc494f875b3d750d28de77f01bc5052e211dd5,0x0ea1582853834fe8041226a07c3c6db0ff7efd69,Jurojin,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,3000
0x6ce887e4d896f35c29e0fecab4bf6d473042ef7f,0x1fee5588cb1de19c70b6ad5399152d8c643fae7b,PHTK,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,,10000
0x742b20bc4e98e457a6e827ce89f50636a938200d,0x48db0de4fed4b978c1aea882bc8d9bf94b15a3b7,∞-yvUSDC-xPYT,6,0x949f8214a37929ea9c89971f7f2249e0c9b46304,∞-yvUSDC-NYT,6,4107,3000
0xb27102a706d5ef59f660125621dd7629514fa3a8,0x6eaef50451cb0b44fa91325459f7ec534594e02e,ZERO,2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,,100
0x1ca8418ec69fcee15821fc3cfd4b74ba4174c5f5,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xcec66d846ac77cecbd14b0541b5c8f9a82e3f891,AOA,18,111244,500
0x52a587d480fb23c9d121d72b00825d50909302ae,0x5404efafdd8cc30053069df2a1b0c4ba881b3e1e,SR,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-107323,10000
0xf275e3aebac1157528dc3973a154dbc301d193c4,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xc7283b66eb1eb5fb86327f08e1b5816b0720212b,TRIBE,18,290071,10000
0x9c8e619a8d54d06b40c6f1d935f7569d42e2809f,0x4b13006980acb09645131b91d259eaa111eaf5ba,MYC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-98010,500
0x868cc38a49024b0a8242fab4df4f53a71ed18957,0x1c74d0254ce886f47f794544fe2388aa776094d6,AIC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-75972,10000
0xe5daea449e17223ea2de10014fce0db56fe52715,0x7420b4b9a0110cdc71fb720908340c03f9bc03ec,JASMY,18,0xd2877702675e6ceb975b4a1dff9fb7baf4c91ea9,LUNA,18,39849,10000
0xb7f338bca59e505b4e558754b7fcff67d0090e62,0x63f42f7c50503f3e2fcb31a8e19d8bead1010a8f,FOB,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,887271,10000
0x55b87ecac9f3c60b8254634605719f9d323490c9,0x5a90d39e5487be49b283926099ed3b42739e6f49,QQB,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-59534,10000
0x2c3b24c14efadce738d918832f02c9df75309d80,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,0xf774dbf3144fc8ade7043c7f6634c88cf83140f3,VCASH,18,163800,10000
0x1c071025b8ed6767bc72940feb8645cc7bbd6cea,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,CODE,18,283199,10000
0xc7ead73bb4d5ff8bbdebeae4b641f0b274e8d8ea,0xbdd55f0ee4fc32ee64f278ab8d38b033bef728a8,CXH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,,100
0x9a20a089a6a467b6be57cf968036d2b109082e1b,0x2dd1b9410c73e16b60240e529e38e30425f00d4e,Pacha,10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-887272,10000
0x294d7fa34c302c6cadd2b1b44c13c4a972f31ec7,0xbdd55f0ee4fc32ee64f278ab8d38b033bef728a8,CXH,18,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,6,,500
0x2afa26a442b715aa53792c155c41dc7b6d9d1568,0x2a8f808ad38e1ed7693fc9459b2177a1fa4a1fe5,ONA,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-887272,10000
0xb92a966b22e547bbefe3d4cfeff62b7fcb9a0ec7,0x0107c4aaa31940ef88760acb1f32424ca8d8bd80,AUTH,8,0xdf801468a808a32656d2ed2d2d80b72a129739f4,CUBE,8,-27993,10000
0xfedd29196f3ff19a957227070d703bbd26024ff9,0x93b743fb12a2677adb13093f8ea8464a436da008,SNACK,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-188758,10000
0xab8ffe19fbbe8c9525476c45de54b2dc6ee370b1,0x3aada3e213abf8529606924d8d1c55cbdc70bf74,XMON,18,0x93b743fb12a2677adb13093f8ea8464a436da008,SNACK,18,140000,10000
0x6ea4da76eb7b4aa6adbd9c6a433bbccb1f639963,0x4a7f3a69617dd62a14f2658d8f6ae4d7b443fc2e,VWC,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,WETH,18,-29392,3000
0xebd2c61d1f40829368dee0185b420e2258955339,0x2ebd53d035150f328bd754d6dc66b99b0edb89aa,MET,18,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,6,-273392,3000
